college code,Manditory Branch name,Manditory Sem,Total eligible students,Pending allocations for eligible students
2102,B.E Medical Electronics Engineering,5,0,0
2102,B.E Biomedical Engineering,7,0,0
2102,B.E Electronics and Communication Engineering,5,8,8
2105,B.E Electrical and Electronics Engineering,7,22,17
2105,B.E Mechanical Engineering,7,71,57
2105,B.E Electrical and Electronics Engineering,5,17,15
2105,B.E Electronics and Communication Engineering,5,35,32
2105,B.E Mechanical Engineering,5,37,33
2105,B.E Computer Science and Engineering,5,93,86
2105,B.E Electrical and Electronics Engineering,5,17,15
2105,B.E Electronics and Communication Engineering,5,35,32
2105,B.Tech Information Technology,5,45,41
2105,B.E Computer Science and Engineering,5,93,70
2105,B.E Electronics and Communication Engineering,5,35,27
2105,B.Tech Information Technology,5,45,34
2105,B.E Mechanical Engineering,5,37,28
2105,B.E Mechanical Engineering,7,71,57
2105,B.E Electrical and Electronics Engineering,5,17,13
2105,B.E Electrical and Electronics Engineering,7,22,16
2105,B.E Electrical and Electronics Engineering,5,17,14
2105,B.E Electrical and Electronics Engineering,7,22,16
2105,B.E Mechanical Engineering,5,37,32
2105,B.E Mechanical Engineering,7,71,60
2105,B.E Civil Engineering,7,16,8
2105,B.E Civil Engineering,7,16,8
2105,B.E Computer Science and Engineering,5,93,70
2105,B.Tech Information Technology,5,45,34
2105,B.E Electronics and Communication Engineering,5,35,27
2105,B.E Computer Science and Engineering,5,93,69
2105,B.E Electronics and Communication Engineering,5,35,25
2105,B.Tech Information Technology,5,45,33
2105,B.E Computer Science and Engineering,5,93,77
2105,B.Tech Information Technology,5,45,38
2105,B.E Electrical and Electronics Engineering,5,17,11
