college_code,college_name,branch_id,branch_name,students_count,verified_students_count,logged_in_students_count
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,81,B.E Electronics and Communication Engineering,124,124,0
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,83,B.E Mechanical Engineering,190,190,0
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,84,B.E Civil Engineering,74,74,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),61,B.E. Computer Science and Engineering,359,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),65,B.E. Electrical and Electronics Engineering,59,21,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),37,B.Tech. Information Technology,171,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),81,B.E Electronics and Communication Engineering,320,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),83,B.E Mechanical Engineering,191,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),84,B.E Civil Engineering,44,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),86,B.Tech. Artificial Intelligence and Data Science,94,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),89,B.E Chemical Engineering,119,0,0
1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),99,B.Tech. Biotechnology,153,0,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,61,B.E. Computer Science and Engineering,742,742,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,452,452,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,37,B.Tech. Information Technology,532,532,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,7005,B.Tech. Food Technology,148,148,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,79,B.E Biomedical Engineering,134,134,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,81,B.E Electronics and Communication Engineering,691,691,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,83,B.E Mechanical Engineering,454,454,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,84,B.E Civil Engineering,145,145,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,85,B.E Computer Science and Business Systems,169,169,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,86,B.Tech. Artificial Intelligence and Data Science,188,188,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,88,B.E Agriculture Engineering,135,135,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,90,B.Tech. Artificial Intelligence and Machine Learning,61,61,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,91,B.E Electronics and Instrumenataion Engineering,20,20,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,93,B.E Automobile Engineering,121,121,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,98,B.E Mechatronics Engineering,234,234,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,99,B.Tech. Biotechnology,289,289,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,100,B.E Aeronautical Engineering,88,88,0
