College Code,College Name ,Taluk,District,Pincode,College Address
2101,ALPHA COLLEGE OF ENGINEERING,,CHENNAI,600124,"34, Udayavar Koil Village, Dr.Grace Gedrge Nagar, Thirumazhisai, Poonamalle"
2102,APOLLO ENGINEERING COLLEGE,SRIPERUMBUDHUR,CHENNAI,602105,"Mavaloorkuppam, Valarpuram Post"
2103,ARIGNAR ANNA INSTITUTE OF SCIENCE AND TECHNOLOGY,SRIPERUMBUDHUR,KANCHIPURAM,602105,"Pennalur, G.Jayarama Nagar"
2104,CHENNAI INSTITUTE OF TECHNOLOGY,,CHENNAI,600069,"Sarathy Nagar, Nandhambakkam Post, Pudupedu"
2105,D M I COLLEGE OF ENGINEERING,,CHENNAI,600123,"Palanchur, Nazrethpet Post, Poonamallee"
2106,JEPPIAAR INSTITUTE OF TECHNOLOGY,SRIPERUMBUDHUR,KANCHIPURAM,631604,"Jeppiaar Nagar, Kunnam Village"
2107,KALSAR COLLEGE OF ENGINEERING,SRIPERUMBUDHUR,CHENNAI,602105,"109, Mannur Village, Valarpuram Post"
2108,KINGS ENGINEERING COLLEGE,SRIPERUMBUDHUR,CHENNAI,602105,"Chennai - Bangalore Highway, Irungattukottai"
2109,LOYOLA INSTITUTE OF TECHNOLOGY,,CHENNAI,600123,"Mevalur Kuppam B Village, Palanchur, Nazrethpet Post, Poonamallee"
2110,JEPPIAAR MAAMALLAN ENGINEERING COLLEGE,SRIPERUMBUDHUR,KANCHIPURAM,602105,"Maamallan Nagar,Vadamangalam Village"
2111,MADHA ENGINEERING COLLEGE,,CHENNAI,600069,"Somangalam Road, Madha Nagar, Kundrathur"
2112,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,,CHENNAI,600122,"Erandamkattalai, Sadhanandapuram, Thandalam Post,"
2113,P.B. COLLEGE OF ENGINEERING,SRIPERUMBUDHUR,CHENNAI,602105,"Chennai - Bangalore Highway, Irungattukottai Village and Post"
2114,PANIMALAR ENGINEERING COLLEGE,,CHENNAI,600123,"Varadharajapuram, Nazrethpet Post, Bangaluru Trunk Road, Poonamalle"
2115,PANIMALAR INSTITUTE OF TECHNOLOGY,,CHENNAI,600123,"No 391, Bangalore Trunk Road, Varadharajapuram, Poonamalle"
2116,RAJALAKSHMI ENGINEERING COLLEGE,SRIPERUMBUDHUR,CHENNAI,602105,"Rajalakshmi Nagar, Chennai Bangalore Highway, Thandalam"
2117,RAJALAKSHMI INSTITUTE OF TECHNOLOGY,SRIPERUMBUDHUR,CHENNAI,600124,"Irulapalayam, Kuthampakkam Post"
2118,RAJALAKSHMI SCHOOL OF ARCHITECTURE,SRIPERUMBUDHUR,CHENNAI,602105,"Rajalakshmi Nagar, Thandalam"
2119,RAJIV GANDHI COLLEGE OF ENGINEERING,SRIPERUMBUDHUR,KANCHIPURAM,602105,"Nemili Village, Valarpuram"
2120,S.K.R. ENGINEERING COLLEGE,,CHENNAI,600123,"Agarmel Village, Nazarathpet Post, Poonamallee"
2121,SAKTHI MARIAMMAN ENGINEERING COLLEGE,SRIPERUMBUDHUR,CHENNAI,602105,"55, Narayanasamy Nagar, Thandalam Village"
2122,SAVEETHA ENGINEERING COLLEGE,SRIPERUMBUDHUR,CHENNAI,602105,"Seveetha Nagar, Thandalam Village and Post"
2123,SREE SASTHA COLLEGE OF ENGINEERING,POONAMALLEE,CHENNAI,600123,"Chembarambakkam Village Road, Chembarambakkam"
2124,SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,POONAMALLEE,CHENNAI,600123,"Sree Sastha Nagar, NH-4, Chembarambakkam Village"
2125,SRI KALAIMAGAL COLLEGE OF ENGINEERING,,TIRUVALLUR,631402,"Kalaimagal Nagar, Kondanchery Village, Arakonam"
2126,SRI MUTHUKUMARAN INSTITUTE OF TECHNOLOGY,,CHENNAI,600069,"Chakkarayapuram (Near Poonamallee), Kundrathur Road, Near Mangadu"
2127,SRI VENKATESWARA COLLEGE OF ENGINEERING,,SRIPERUMBUDUR,602117,"Post Bag No:1, Pennalur, Chennai-Banglore High Road, Irungattukottai S.O"
2128,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,,CHENNAI,600056,"Poonamalle Bye Pass Road, Parivakkam Village, Poonamalle"
2129,ST. JOSEPH COLLEGE OF ENGINEERING,SRIPERUMBUDHUR,CHENNAI,602105,"Trinity campus, Beemanthangal, Nemili"
2130,SREE SASTHA SCHOOL OF ARCHITECTURE AND PLANNING,,CHENNAI,600123,Chennai - Bengaluru HighwaySree Sastha Nagar Poonamallee
2131,PAPNI SCHOOL OF ARCHITECTURE,SRIPERUMBUDHUR,KANCHIPURAM,602108,302/1Keeranallur Village
2176,E.V.P. ENGINEERING COLLEGE,,,,
2177,SANTHOSA ENGINEERING COLLEGE,,,,
