college_code,college_name,student_count
813,SREE ARUMUGHAM POLYTECHNIC COLLEGE,0,
3465,Government college of Engineering Srirangam ,0,
6131,VIVEKANANDHA INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN,0,
7304,ERODE SENGUNTHAR ENGINEERING COLLEGE,0,
415,GOVT POLYTCHNIC COLLEGE FOR WOMEN,0,
904,SRI MANAKULA VINAYAGAR POLYTECHNIC COLLEGE,0,
547,S R I POLYTECHNIC COLLEGE,0,
1219,Sri Venkateswara College of Engineering,0,
551,DHANALAKSHMI SRINIVASAN POLYTECHNIC COLLEGE,0,
844,MANORA POLYTECHNIC COLLEGE,0,
937,SRI ANDAL NACHIYAR POLYTECHNIC COLLEGE,0,
599,MAHARANI POLYTECHNIC COLLEGE,0,
1144,RVS PADMAVATHY SCHOOL OF ARCHITECTURE,0,
7322,NANDHA ENGINEERING COLLEGE,0,
3011,University College of Engineering, BIT Campus, Tiruchirappalli,0,
3801,AVC College of Engineering,0,
7225,SASI CREATIVE SCHOOL OF BUSINESS,0,
584,SUDHARSAN POLYTECHNIC COLLEGE,0,
1131,Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College,0,
9631,ARUL COLLEGE OF TECHNOLOGY,0,
307,VALLIAMMAI POLYTECHNIC COLLEGE,0,
9515,KALASALINGAM INSTITUTE OF TECHNOLOGY,0,
706,MASS POLYTECHNIC COLLEGE,0,
4128,SRM VALLIAMMAI ENGINEERING COLLEGE,0,
7234,N.R. SCHOOL OF ARCHITECTURE,0,
5832,NPR COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
2708,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
345,THANAPANDIYAN POLYTECHNIC COLLEGE,0,
8145,THE SELVAM WOMEN EXCELLENCE ENGINEERING TECHNOLOGY,0,
523,SRI RAGAVENDRA POLYTECHNIC COLLEGE,0,
7127,AMBAL PROFESSIONAL GROUP OF INSTITUTIONS,0,
7141,SRIGURU INSTITUTE OF TECHNOLOGY,0,
111,GOVERNMENT POLYTECHNIC COLLEGE,0,
8116,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
