id,branch,student count,verified student count,unverified student count
114,B.E Mechanical and Mechatronics,66,66,0
115,B.E Electronics and Telecommunications Engineering,0,0,0
116,B.E Metallurgical Engineering,349,125,224
117,B.E Production Engineering,312,0,312
118,B.Tech. Textile Technology (Part Time),18,0,18
119,B.E Electrical and Electronics Engineering (Sandwich),218,0,218
120,B.E Mechanical Engineering (Sandwich),233,0,233
121,B.E Production Engineering (Sandwich),201,0,201
122,BSc COMPUTER SYSTEMS & DESIGN,286,176,110
123,B.E Computer and Communication Engineering,213,213,0
124,B.Tech Computer Technology,169,0,169
125,B.E Aerospace Engineering,2,0,2
126,B.E PRINTING AND PACKAGING TECHNOLOGY,103,103,0
127,B.E MINING ENGINEERING,67,67,0
128,B.E MATERIALS SCIENCE AND ENGINEERING,64,64,0
129,B.E GEO-INFORMATICS,84,84,0
130,B.Tech RUBBER & PLASTICS TECHNOLOGY,143,10,133
131,B.Tech. Petrochemical Technology,25,0,25
132,B.E Safety and Fire Engineering,33,0,33
