college_id,college_code,college_name
1532,570,PONNAIYAH RAMAJAYAM POLYTECHNIC COLLEGE
1497,529,K A R POLYTECHNIC COLLEGE
1530,568,UDAYA POLYTECHNIC COLLEGE
1431,355,ST XAVIERS POLYTECHNIC COLLEGE
1528,566,PASTOR LENSSEN POLYTECHNIC COLLEGE
1511,548,ARIES POLYTECHNIC COLLEGE
1521,559,P V POLYTECHNIC COLLEGE
1517,554,CHEYYAR POLYTECHNIC COLLEGE
1536,574,MAHENDRA POLYTECHNIC COLLEGE
1533,571,VANDAYAR POLYTECHNIC COLLEGE
1547,587,A R J POLYTECHNIC COLLEGE
1535,573,CHANDY POLYTECHNIC COLLEGE
1546,586,PONNAIYAH RAMAJAYAM POLYTECHNIC COLLEGE
1540,579,SURYA POLYTECHNIC COLLEGE
1543,582,MOTHER TERASA POLYTECHNIC COLLEGE
1544,583,SAKTHI INSTITUTE OF FASHION TECHNOLOGY
1554,594,P S R POLYTECHNIC COLLEGE
1559,618,BHARATH INST OF CATRNG TECNLGY & HOTEL MNGT
1545,584,SUDHARSAN POLYTECHNIC COLLEGE
1550,590,THE KONGU POLYTECHNIC COLLEGE
1538,577,R V S POLYTECHNIC COLLEGE
1557,598,THE KAAVERY INSTITUTE OF TECHNOLOGY
1551,591,KONGHU VELALAR POLYTECHINIC COLLEGE
618,4125,Sri Sairam Engineering College
1541,580,F X POLYTECHNIC COLLEGE
1549,589,CHENDHURAN POLYTECHNIC COLLEGE
1553,593,NAGA SIVA POLYTECHNIC COLLEGE
1558,599,MAHARANI POLYTECHNIC COLLEGE
1556,597,SRINIVASAN POLYTECHNIC COLLEGE
1548,588,ARULMURUGAN POLYTECHNIC COLLEGE
621,4128,SRM VALLIAMMAI ENGINEERING COLLEGE
1561,702,AAROORAN POLYTECHNIC COLLEGE
1562,703,ELUMALAIYAN POLYTECHNIC COLLEGE
1565,706,MASS POLYTECHNIC COLLEGE
1563,704,MAISURII  POLYTECHNIC COLLEGE
1282,2719,Sri Ramakrishna Engineering College
1569,712,SRI BHARATHI VELU POLYTECHNIC COLLEGE
1579,722,UDHAYAM POLYTECHNIC COLLEGE
1095,9511,INFANT JESUS COLLEGE OF ENGINEERING AND TECHNOLOGY
1573,716,N P R POLYTECHNIC COLLEGE.
1574,717,SRI VENKATESHWARAA POLYTECHNIC COLLEGE
1575,718,THE SURABI COLLEGE OF POLYTECHNIC
1576,719,NATIONAL INSTITUTE OF POLYTECHNIC
1577,720,P S N POLYTECHNIC COLLEGE
